Phase,PotPcnt,StackPcnt,BetPcnt,AvgBetAmt,BetAmtStdDev,AIPcnt,FoldPcnt,AvgFoldAmt
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.3333333333333333,105.0,61.24540799113024,0.0,0.75,371.3333333333333
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.7142857142857143,1216.0,768.0,0.0,0.2857142857142857,960.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,HIGH,LOW,1.0,371.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,285.3333333333333,403.52226979712316,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,120.0,207.84609690826528,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.7692307692307693,316.2,410.780427966085,0.0,0.23076923076923078,253.33333333333334
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.6363636363636364,371.42857142857144,286.42768079662034,0.0,0.45454545454545453,1240.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,250.0,250.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.38095238095238093,656.25,837.9429798619951,0.0,0.7142857142857143,612.8666666666667
PREFLOP,LOW,MEDIUM,1.0,15550.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.2,20.0,0.0,0.0,1.0,491.0
FLOP,LOW,LOW,0.0,0.0,0.0,0.0,1.0,127.0
PREFLOP,LOW,LOW,1.0,55.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.5,300.0
PREFLOP,LOW,LOW,0.375,220.16666666666666,189.1123269970052,0.0,0.6875,864.3636363636364
PREFLOP,LOW,LOW,0.2857142857142857,575.0,525.0,0.0,0.8571428571428571,491.6666666666667
PREFLOP,LOW,LOW,0.5,233.33333333333334,96.46530752325188,0.0,0.6666666666666666,709.25
PREFLOP,LOW,LOW,0.06666666666666667,100.0,0.0,0.0,1.0,325.6666666666667
PREFLOP,LOW,MEDIUM,0.0,0.0,0.0,0.0,1.0,400.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
