Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
bestbette	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BetDeDraw	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
muffin	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rivrgod	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mobydico	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
oojs	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
coming	RIVER	LOW	LOW	0.75	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fritz	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Moses	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anurag	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fox-UK	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
wolfdog	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zadig	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
curzon	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ICARUS	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spaced	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dicky	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RoZaR	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RazzO	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gremlin	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QueenB	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
shrader	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AtWork	RIVER	LOW	LOW	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clayton1	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
simon	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dOmInOcUs	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tensin	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
muc	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
exosis	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Magilla	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bob789	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bootleg	RIVER	LOW	LOW	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Moshe	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
topquark	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LargeElk	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sinobi	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blazin7s	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Malish	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MikeM	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rulle	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nrm	RIVER	LOW	LOW	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Marko	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TimBo2k	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
poohGO	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JontyMC	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hegel	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Reck	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tatonka	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
theugly	RIVER	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
