Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
													
FuzzyFish	FLOP	MEDIUM	LOW	0.3333	0.1667	0.1667	0.0000	0.0126	0.0118	0.0000	0.4167	0.0158
FuzzyFish	PREFLOP	LOW	HIGH	0.2273	0.7727	0.2273	0.1364	0.0552	0.0701	0.0000	0.0000	0.0000
FuzzyFish	FLOP	HIGH	MEDIUM	0.7647	0.1176	0.0000	0.0000	0.1045	0.0630	0.0000	0.1176	0.0252
FuzzyFish	FLOP	MEDIUM	MEDIUM	0.5833	0.0833	0.0833	0.0000	0.0143	0.0047	0.0000	0.2500	0.0139
FuzzyFish	PREFLOP	LOW	LOW	0.0766	0.3493	0.1388	0.0813	0.0194	0.0227	0.0000	0.6268	0.0202
pogo	PREFLOP	LOW	LOW	0.0968	0.2688	0.1075	0.0215	0.0164	0.0228	0.0000	0.6774	0.0165
harryc	FLOP	HIGH	MEDIUM	0.6000	0.1000	0.2000	0.0000	0.0232	0.0082	0.0000	0.1000	0.0186
harryc	PREFLOP	LOW	LOW	0.0533	0.2200	0.0600	0.1200	0.0176	0.0291	0.0000	0.7467	0.0180
harryc	RIVER	LOW	LOW	0.6364	0.0000	0.1818	0.0000	0.0125	0.0007	0.0000	0.1818	0.0152
jester	PREFLOP	LOW	MEDIUM	0.1000	0.3000	0.0000	0.3000	0.0277	0.0224	0.0000	0.5000	0.0274
jester	FLOP	HIGH	MEDIUM	0.3333	0.2500	0.4167	0.0000	0.0332	0.0460	0.0000	0.0833	0.0354
jester	PREFLOP	LOW	LOW	0.0778	0.3222	0.1000	0.0667	0.0129	0.0198	0.0000	0.6667	0.0186
OE800	PREFLOP	LOW	LOW	0.0000	0.2000	0.5500	0.1000	0.0066	0.0063	0.0000	0.6000	0.0086
justnuts	PREFLOP	LOW	LOW	0.0000	0.3889	0.0556	0.0556	0.0076	0.0052	0.0000	0.8889	0.0178
flyrod	FLOP	HIGH	MEDIUM	0.4615	0.0769	0.1538	0.0769	0.0384	0.0224	0.0000	0.2308	0.0278
flyrod	PREFLOP	LOW	LOW	0.1236	0.4494	0.1910	0.0449	0.0161	0.0325	0.0000	0.5506	0.0170
placo	FLOP	HIGH	LOW	0.5500	0.1000	0.2000	0.0000	0.0626	0.0771	0.0000	0.1500	0.0287
placo	PREFLOP	LOW	MEDIUM	0.0000	0.5455	0.6364	0.0909	0.0138	0.0114	0.0000	0.2727	0.0106
placo	FLOP	HIGH	MEDIUM	0.5405	0.1081	0.2973	0.0000	0.0586	0.0651	0.0000	0.0811	0.0178
placo	FLOP	MEDIUM	MEDIUM	0.5000	0.0000	0.0714	0.0000	0.0085	0.0000	0.0000	0.4286	0.0095
placo	PREFLOP	LOW	LOW	0.1157	0.4793	0.3719	0.0248	0.0147	0.0204	0.0000	0.3884	0.0151
Jalapeno	PREFLOP	LOW	MEDIUM	0.1282	0.4103	0.0769	0.1282	0.0358	0.0715	0.0000	0.5385	0.0121
Jalapeno	PREFLOP	LOW	HIGH	0.2727	0.6364	0.0000	0.1818	0.0876	0.1399	0.0000	0.1818	0.0059
Jalapeno	PREFLOP	LOW	LOW	0.0566	0.3774	0.1887	0.2264	0.0173	0.0218	0.0000	0.4906	0.0109
pgapro	PREFLOP	LOW	LOW	0.0625	0.5000	0.5000	0.1250	0.0151	0.0281	0.0000	0.2500	0.0137
nuxi	PREFLOP	LOW	MEDIUM	0.1538	0.6154	0.4615	0.0769	0.0497	0.0491	0.0000	0.1538	0.0509
nuxi	PREFLOP	LOW	LOW	0.0204	0.2449	0.1429	0.0408	0.0196	0.0299	0.0000	0.7755	0.0173
DM	PREFLOP	LOW	LOW	0.0723	0.2410	0.0361	0.1084	0.0284	0.0429	0.0000	0.7349	0.0216
Zanzibar	PREFLOP	LOW	LOW	0.0870	0.3043	0.2174	0.1739	0.0190	0.0219	0.0000	0.4783	0.0325
fich	FLOP	MEDIUM	LOW	0.2308	0.3077	0.0769	0.0000	0.0092	0.0048	0.0000	0.3846	0.0102
fich	FLOP	HIGH	LOW	0.3000	0.1000	0.3000	0.1000	0.0331	0.0192	0.0000	0.2000	0.0172
fich	PREFLOP	LOW	MEDIUM	0.1600	0.4400	0.2400	0.2800	0.0330	0.0463	0.0000	0.2000	0.0206
fich	PREFLOP	LOW	HIGH	0.1600	0.7600	0.3600	0.2000	0.0342	0.0428	0.0000	0.0400	0.0658
fich	FLOP	HIGH	MEDIUM	0.5714	0.0476	0.2381	0.0476	0.0399	0.0415	0.0000	0.0952	0.0284
fich	FLOP	MEDIUM	MEDIUM	0.6000	0.3000	0.1000	0.0000	0.0127	0.0060	0.0000	0.1000	0.0103
fich	PREFLOP	LOW	LOW	0.1029	0.2971	0.1829	0.0686	0.0179	0.0233	0.0000	0.5714	0.0161
fich	FLOP	HIGH	HIGH	0.8000	0.0667	0.0667	0.0667	0.0806	0.0252	0.0000	0.0000	0.0000
WC^bot	FLOP	MEDIUM	LOW	0.4545	0.0909	0.1818	0.0000	0.0100	0.0037	0.0000	0.2727	0.0161
WC^bot	PREFLOP	LOW	HIGH	0.1333	0.8667	0.6000	0.1333	0.0291	0.0302	0.0000	0.0000	0.0000
WC^bot	FLOP	HIGH	MEDIUM	0.5882	0.2353	0.0588	0.0000	0.0188	0.0042	0.0000	0.1176	0.0103
WC^bot	PREFLOP	LOW	LOW	0.0704	0.3521	0.2535	0.0704	0.0202	0.0292	0.0000	0.5493	0.0183
WC^bot	FLOP	HIGH	HIGH	0.8182	0.0000	0.0909	0.0909	0.1203	0.0961	0.0000	0.0000	0.0000
^TGP^	TURN	HIGH	LOW	0.6923	0.1538	0.1538	0.0000	0.0196	0.0118	0.0000	0.0000	0.0000
